KUCCPS brand  in comparison with other related service institutions in the education sector ,Not at all favorable,Not so favorable,Somewhat favorable,Very favorable,Extremely favorable,,
Adherence to service charter,0,9,10,9,3,2.74 ,54.84%
Channels of communication in place,0,0,11,11,9,4.11,82.26%
Complaint handling mechanism,0,4,15,9,3,3.15,62.90%
Corporate color,0,1,17,8,5,3.47,69.35%
Customer service skills,0,3,15,9,4,3.31,66.13%
Ease of access to services,0,1,5,18,7,4.44,88.71%
Executing its mandate,1,9,11,7,3,2.5,50.00%
Giving back to the community through Corporate Social Initiatives,1,8,5,10,7,3.15,62.90%
Logo,4,5,6,12,4,3.06,61.29%
AVERAGE,1,4,11,10,5,3.32,66.49%
,,,,,,,
,,,,,,,
Question_Tags,1. Strongly Disagree,2. Disagree,3. Neutral,4. Agree,5. Strongly Agree,,
Education,0,3,6,11,11,4.03 ,80.65%
Environment,1,7,14,9,0,2.58 ,51.61%
Health,0,5,15,7,4,2.98 ,59.68%
Sports,0,6,11,11,3,3.15 ,62.90%
AVERAGE,0 ,5 ,12 ,10 ,5 ,3.19 ,63.71%
,,,,,,,
,,,,,,,
,,,,,,,
Question_Tags,1. Strongly Disagree,2. Disagree,3. Neutral,4. Agree,5. Strongly Agree,,
Environmental Conservation,0,5,11,11,4,3.31 ,66.13%
Involvement in community service,1,4,15,7,4,2.98 ,59.68%
Material support/donation,1,4,11,8,7,3.31 ,66.13%
Other approved initiatives,1,7,13,9,1,2.66 ,53.23%
Paying/ waiving application fee for needy cases that are presented to us,1,1,15,9,5,3.47 ,69.35%
Rolling out of wellness camps,3,5,9,7,7,2.98 ,59.68%
Sponsoring of events,1,1,18,8,3,3.23 ,64.52%
AVERAGE,1 ,4 ,13 ,8 ,4 ,3.13 ,62.67%
,,,,,,,
,,,,,,,
,,,,,,,
Question_Tags,1. Strongly Disagree,2. Disagree,3. Neutral,4. Agree,5. Strongly Agree,,
Customer centeredness,1,1,10,16,3,3.87 ,77.42%
Ease of access to services,3,3,5,12,8,3.63 ,72.58%
"Ensuring mutual benefit for KUCCPS, its stakeholders and partners on CSI programmes",1,1,7,17,5,4.11 ,82.26%
High level of Equity,0,1,9,16,5,4.11 ,82.26%
High level of innovativeness,0,1,7,14,9,4.27 ,85.48%
"Involving employees in CSI programmes to ensure success and promoting a positive image, respect and good reputation of the organisation among communities",0,1,6,15,9,4.35 ,87.10%
Putting in place CSI interventions that are cost effective/Optimum value,0,1,13,12,5,3.79 ,75.81%
Putting in place CSI interventions that are resilient and promoting sustainable communities,0,1,3,14,13,4.60 ,91.94%
Staff upholds high level of integrity,0,0,9,9,13,4.27 ,85.48%
AVERAGE,1 ,1 ,8 ,14 ,8 ,4.11 ,82.26%
,,,,,,,
,,,,,,,
,,,,,,,
Question_Tags,2. Disagree,3. Neutral,4. Agree,5. Strongly Agree,,,
Collaborating and partnering and exchanging information,3,11,9,8,3.63 ,72.58%,
Creating synergies by working with other CSI partners to roll out specific CSI programmes,4,11,12,4,3.47 ,69.35%,
Cultivating public good will and promoting the corporate image of the organization,4,13,11,3,3.31 ,66.13%,
"Initiating, implementing and supporting sustainable programmes for the benefit of communities and its stakeholders",2,12,12,5,3.71 ,74.19%,
Participating in corporate Social Investment (CSI),0,9,17,5,4.27 ,85.48%,
Setting out principles for engagement with stakeholders,1,5,18,7,4.44 ,88.71%,
"Supporting national, social initiatives that are aligned to the placement services strategic interest",0,11,15,5,4.11 ,82.26%,
,2 ,10 ,13 ,5 ,3.85 ,76.96%,
,,,,,,,
,,,,,,,
,,,,,,,
Question_Tags,2. Disagree,3. Neutral,4. Agree,5. Strongly Agree,,,
Communication and customer experience,1,15,6,9,3.63 ,72.58%,
Enhancing and diversifying placement services,2,18,9,2,3.23 ,64.52%,
Enhancing innovation and use of technology,1,13,10,7,3.79 ,75.81%,
Financial sustainability,1,13,7,10,3.79 ,75.81%,
Strengthening career advisory services,2,13,9,7,3.63 ,72.58%,
Strengthening institutional capacity and enhancing corporate governance,1,9,16,5,4.11 ,82.26%,
,1 ,14 ,10 ,7 ,3.70 ,73.92%,
